🕘️更新时间,#genre#
2025-06-30 14:37:28,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw

港·澳·台,#genre#
无线新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
翡翠台,http://tvdrs.wsrtv.com.cn:8100/channellive/ch1.flv
凤凰中文,http://cdn.163.dedyn.io/live/fhzw/stream.m3u8
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,https://cdn6.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰资讯,https://smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰香港,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
凤凰香港,http://cdn3.132.us.kg/live/fhhk/stream.m3u8
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk2
凤凰香港,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn
凤凰卫视,http://cdn.132.us.kg/live/fhzw/stream.m3u8
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰卫视,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰卫视,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
J2,http://php.jdshipin.com:8880/PLTV/iptv.php?id=j2
三立新闻,https://tv.iill.top/4gtv/229
三立新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
东森综合,https://smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe
东森超视,https://smart.pendy.dpdns.org/Smart.php?id=ettvsuper
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森电影,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie

日本,#genre#
NHK综合,http://vthanh.utako.moe/NHK_G/index.m3u8
NHK教育,http://vthanh.utako.moe/NHK_E/index.m3u8
NHK世界新闻,https://master.nhkworld.jp/nhkworld-tv/playlist/live.m3u8
日本电视台,http://vthanh.utako.moe/Nippon_TV/index.m3u8
TBS电视台,http://vthanh.utako.moe/TBS/index.m3u8
东京电视台,http://vthanh.utako.moe/bstvtokyo/index.m3u8
东京都会电视台1,http://vthanh.utako.moe/Tokyo_MX1/index.m3u8
东京都会电视台2,http://vthanh.utako.moe/Tokyo_MX2/index.m3u8
每日放送,http://vthanh.utako.moe/mbs/index.m3u8
朝日放送,https://epg.iill.top/v/401.mp4
朝日放送,http://vthanh.utako.moe/abc/index.m3u8
大阪电视台,http://vthanh.utako.moe/tvo/index.m3u8
SUN电视台,http://vthanh.utako.moe/suntv/index.m3u8
读卖电视台,http://vthanh.utako.moe/ytv/index.m3u8
日本BS放送,http://vthanh.utako.moe/BS11/index.m3u8
BS朝日,http://vthanh.utako.moe/bsasahi/index.m3u8
BS-TBS,http://vthanh.utako.moe/bstbs/index.m3u8
BS富士,http://vthanh.utako.moe/Fuji_TV/index.m3u8
CGNTV,https://d2p4mrcwl6ly4.cloudfront.net/out/v1/8d50f69fdbbf411a8d302743e4263716/CGNWebLiveJP_1.m3u8
Family剧场,http://vthanh.utako.moe/familygeki/index.m3u8
动画剧场X,http://vthanh.utako.moe/AT-X/index.m3u8
卡通频道,http://vthanh.utako.moe/cartoon_network/index.m3u8
Animax,https://amg02159-kcglobal-amg02159c1-samsung-in-521.playouts.now.amagi.tv/playlist/amg02159-kcglobal-animax-samsungin/playlist.m3u8
Animax,http://vthanh.utako.moe/Animax/index.m3u8
迪士尼频道,http://vthanh.utako.moe/disneychan/index.m3u8
GAORA,http://vthanh.utako.moe/gaora/index.m3u8
GREEN Channel,http://vthanh.utako.moe/green/index.m3u8
银河频道,http://vthanh.utako.moe/gingach/index.m3u8
MONDO TV,http://vthanh.utako.moe/mondo/index.m3u8
